HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"8101","0","Tungsten (wolfram) and articles thereof, including waste and scrap:","","","","","",""
"8101.10.00.00","1","Powders","[""kg"",""W kg""]","7%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","58%","",""
"","1","Other:","","","","","",""
"8101.94.00.00","2","Unwrought tungsten, including bars and rods obtained simply by sintering","[""kg""]","6.6%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","60%","",""
"8101.96.00.00","2","Wire","[""kg""]","4.4%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","60%","",""
"8101.97.00.00","2","Waste and scrap","[""kg"",""W kg""]","2.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"8101.99","2","Other:","","","","","",""
"8101.99.10.00","3","Bars and rods, other than those obtained simply by sintering, profiles, plates, sheets, strip and foil","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","60%","",""
"8101.99.80.00","3","Other","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8102","0","Molybdenum and articles thereof, including waste and scrap:","","","","","",""
"8102.10.00.00","1","Powders","[""kg"",""Mo kg""]","9.1¢/kg on molybdenum content + 1.2%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$1.10/kg on molybdenum content + 15%","",""
"","1","Other:","","","","","",""
"8102.94.00.00","2","Unwrought molybdenum, including bars and rods obtained simply by sintering","[""kg"",""Mo kg""]","13.9¢/kg on molybdenum content + 1.9%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$1.10/kg on molybdenum content + 15%","",""
"8102.95","2","Bars and rods, other than those obtained simply by sintering, profiles, plates, sheets, strip and foil:","","","","","",""
"8102.95.30.00","3","Bars and rods","[""kg""]","6.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
