HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"8601","0","Rail locomotives powered from an external source of electricity or by electric accumulators (batteries):","","","","","",""
"8601.10.00.00","1","Powered from an external source of electricity","[""No.""]","Free","","35%","",""
"8601.20.00.00","1","Powered by electric accumulators (batteries)","[""No.""]","Free","","35%","",""
"8602","0","Other rail locomotives; locomotive tenders:","","","","","",""
"8602.10.00.00","1","Diesel-electric locomotives","[""No.""]","Free","","35%","",""
"8602.90.00.00","1","Other","[""No.""]","Free","","35%","",""
"8603","0","Self-propelled railway or tramway coaches, vans and trucks, other than those of heading 8604:","","","","","",""
"8603.10.00.00","1","Powered from an external source of electricity","[""No.""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8603.90.00.00","1","Other","[""No.""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8604.00.00.00","0","Railway or tramway maintenance or service vehicles, whether or not self-propelled (for example, workshops, cranes, ballast tampers, trackliners, testing coaches and track inspection vehicles)","[""No.""]","2.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8605.00.00.00","0","Railway or tramway passenger coaches, not self- propelled; luggage vans, post office coaches and other special purpose railway or tramway coaches, not self- propelled (excluding those of heading 8604)","[""No.""]","14%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8606","0","Railway or tramway freight cars, not self-propelled:","","","","","",""
"8606.10.00.00","1","Tank cars and the like","[""No.""]","14%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8606.30.00.00","1","Self-discharging cars, other than those of subheading 8606.10","[""No.""]","14%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","1","Other:","","","","","",""
"8606.91.00.00","2","Covered and closed","[""No.""]","14%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8606.92.00.00","2","Open, with non-removable sides of a height exceeding 60 cm","[""No.""]","14%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8606.99.01","2","Other","","14%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8606.99.01.30","3","Flatcars having a flat floor or deck laid on the underframe, with no roof and with no raised sides or ends","[""No.""]","","","","",""
"8606.99.01.60","3","Other","[""No.""]","","","","",""
"8607","0","Parts of railway or tramway locomotives or rolling stock:","","","","","",""
"","1","Truck assemblies, axles and wheels, and parts thereof:","","","","","",""
"8607.11.00.00","2","Truck assemblies for self-propelled vehicles","[""No.""]","Free","","35%","",""
"8607.12.00.00","2","Other truck assemblies","[""No.""]","3.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8607.19","2","Other, including parts:","","","","","",""
"","3","Axles and parts thereof:","","","","","",""
"8607.19.03.00","4","Axles","[""kg""]","0.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","3%","",""
"8607.19.06.00","4","Parts of axles","[""kg""]","0.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","3%","",""
