HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5901","0","Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers of books or the like; tracing cloth; prepared painting canvas; buckram and similar stiffened textile fabrics of a kind used for hat foundations:","","","","","",""
"5901.10","1","Textile fabrics coated with gum or amylaceous sub- stances, of a kind used for the outer covers of books or the like:","","","","","",""
"5901.10.10.00","2","Of man-made fibers (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","74.5%","",""
"5901.10.20.00","2","Other (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","4.1%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","35%","",""
"5901.90","1","Other:","","","","","",""
"5901.90.20.00","2","Of man-made fibers (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","74.5%","",""
"5901.90.40.00","2","Other (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","4.1%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","35%","",""
"5902","0","Tire cord fabric of high tenacity yarn of nylon or other poly- amides, polyesters or viscose rayon:","","","","","",""
"5902.10.00.00","1","Of nylon or other polyamides (229)","[""kg""]","5.8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"5902.20.00.00","1","Of polyesters (229)","[""kg""]","5.8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"5902.90.00.00","1","Other (229)","[""kg""]","Free","","25%","",""
"5903","0","Textile fabrics impregnated, coated, covered or laminated with plastics, other than those of heading 5902:","","","","","",""
"5903.10","1","With poly(vinyl chloride):","","","","","",""
"5903.10.10.00","2","Of cotton","[""m<sup>2<\/sup>"",""kg""]","2.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"","2","Of man-made fibers:","","","","","",""
"","3","Fabrics specified in note 9 to section XI:","","","","","",""
"5903.10.15.00","4","Over 60 percent by weight of plastics","[""m<sup>2<\/sup>"",""kg""]","Free","","40%","",""
"5903.10.18.00","4","Other (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","14.1%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","83.5%","",""
"","3","Other:","","","","","",""
"5903.10.20","4","Over 70 percent by weight of rubber or plastics","","Free","","25%","",""
"5903.10.20.10","5","Fabrics, of yarns sheathed with poly(vinyl chloride), not otherwise impregnated, coated, covered or laminated","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5903.10.20.90","5","Other","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5903.10.25.00","4","Other (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","84.5%","",""
"5903.10.30.00","2","Other","[""m<sup>2<\/sup>"",""kg""]","2.7%","Free (AU,BH, CL,CO,E*,IL, JO,KR,MA,OM, P,PA,PE,S,SG)","40%","",""
"5903.20","1","With polyurethane:","","","","","",""
"5903.20.10.00","2","Of cotton","[""m<sup>2<\/sup>"",""kg""]","2.7%","Free (AU,BH,CL,CO,E*,IL,JO,KR, MA,OM,P,PA,PE,S,SG)","40%","",""
"","2","Of man-made fibers:","","","","","",""
"","3","Fabrics specified in note 9 to section XI:","","","","","",""
"5903.20.15.00","4","Over 60 percent by weight of plastics","[""m<sup>2<\/sup>"",""kg""]","Free","","40%","",""
"5903.20.18.00","4","Other (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","83.5%","",""
"","3","Other:","","","","","",""
"5903.20.20.00","4","Over 70 percent by weight of rubber or plastics","[""m<sup>2<\/sup>"",""kg""]","Free","","25%","",""
"5903.20.25.00","4","Other (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","84.5%","",""
"5903.20.30","2","Other","","2.7%","Free (AU,BH, CL,CO,E*,IL, JO,KR, MA,OM, P,PA,PE,S,SG)","40%","",""
"5903.20.30.10","3","Of wool or fine animal hair (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","","","","",""
"5903.20.30.90","3","Other","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5903.90","1","Other:","","","","","",""
"5903.90.10.00","2","Of cotton","[""m<sup>2<\/sup>"",""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"","2","Of man-made fibers:","","","","","",""
"","3","Fabrics specified in note 9 to section XI:","","","","","",""
"5903.90.15.00","4","Over 60 percent by weight of plastics","[""m<sup>2<\/sup>"",""kg""]","Free","","40%","",""
"5903.90.18.00","4","Other (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","83.5%","",""
"","3","Other:","","","","","",""
"5903.90.20.00","4","Over 70 percent by weight of rubber or plastics","[""m<sup>2<\/sup>"",""kg""]","Free","","25%","",""
"5903.90.25.00","4","Other (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PE,S,SG)","84.5%","",""
"5903.90.30","2","Other","","2.7%","Free (AU,BH, CL,CO,E*,IL, JO,KR,MA,OM,P,PA, PE,S,SG)","40%","",""
"5903.90.30.10","3","Of wool or fine animal hair (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","","","","",""
"5903.90.30.90","3","Other","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5904","0","Linoleum, whether or not cut to shape; floor coverings con- sisting of a coating or covering applied on a textile backing, whether or not cut to shape:","","","","","",""
"5904.10.00.00","1","Linoleum","[""m<sup>2<\/sup>"",""kg""]","Free","","35%","",""
"5904.90","1","Other:","","","","","",""
"5904.90.10.00","2","With a base consisting of needleloom felt or non- wovens","[""m<sup>2<\/sup>"",""kg""]","Free","","40%","",""
"5904.90.90.00","2","Other","[""m<sup>2<\/sup>"",""kg""]","Free","","40%","",""
"5905.00","0","Textile wall coverings:","","","","","",""
"5905.00.10.00","1","Backed with permanently affixed paper","[""m<sup>2<\/sup>"",""kg""]","Free","","3.3¢/kg + 20%","",""
"5905.00.90.00","1","Other (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","Free","","74%","",""
"5906","0","Rubberized textile fabrics, other than those of heading 5902:","","","","","",""
"5906.10.00.00","1","Adhesive tape of a width not exceeding 20 cm","[""kg""]","2.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"","1","Other:","","","","","",""
"5906.91","2","Knitted or crocheted:","","","","","",""
"5906.91.10.00","3","Of cotton","[""m<sup>2<\/sup>"",""kg""]","2.7%","Free (AU,BH, CL,CO,IL,JO, KR, MA,OM, P,PA,PE,S,SG)","40%","",""
"","3","Of man-made fibers:","","","","","",""
"5906.91.20.00","4","Over 70 percent by weight of rubber or plastics","[""m<sup>2<\/sup>"",""kg""]","Free","","25%","",""
"5906.91.25.00","4","Other (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7.5%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","84.5%","",""
"5906.91.30.00","3","Other","[""m<sup>2<\/sup>"",""kg""]","2.7%","Free (AU,BH, CL,CO,E*,IL, JO,KR,MA,OM,P,PA, PE,S,SG)","40%","",""
"5906.99","2","Other:","","","","","",""
"5906.99.10.00","3","Of cotton","[""m<sup>2<\/sup>"",""kg""]","2.7%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","40%","",""
"","3","Of man-made fibers:","","","","","",""
"5906.99.20.00","4","Over 70 percent by weight of rubber or plastics","[""m<sup>2<\/sup>"",""kg""]","Free","","25%","",""
"5906.99.25.00","4","Other (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","Free","","84.5%","",""
"5906.99.30.00","3","Other","[""m<sup>2<\/sup>"",""kg""]","3.3%","Free (AU,BH, CL,CO,E*,IL, JO,KR,MA,OM,P,PA, PE,S,SG)","40%","",""
"5907.00","0","Textile fabrics otherwise impregnated, coated or covered; painted canvas being theatrical scenery, studio back-cloths or the like:","","","","","",""
"","1","Laminated fabrics; fabrics specified in note 9 to section XI:","","","","","",""
"","2","Of man-made fibers:","","","","","",""
"5907.00.05.00","3","Theatrical, ballet, and operatic scenery and properties, including sets (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","Free","","83.5%","",""
"5907.00.15.00","3","Other (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","83.5%","",""
"","2","Other:","","","","","",""
"5907.00.25.00","3","Theatrical, ballet, and operatic scenery and properties, including sets (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","Free","","83.5%","",""
"5907.00.35.00","3","Other (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","8%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","83.5%","",""
"","1","Other:","","","","","",""
"5907.00.60.00","2","Of man-made fibers (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","Free","","50%","",""
"5907.00.80","2","Other","","Free","","50%","",""
"5907.00.80.10","3","Of vegetable fibers, except cotton (810)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5907.00.80.90","3","Other (229)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","","","","",""
"5908.00.00.00","0","Textile wicks, woven, plaited or knitted, for lamps, stoves, lighters, candles or the like; incandescent gas mantles and tubular knitted gas mantle fabric therefor, whether or not impregnated","[""kg""]","3.4%","Free (AU,BH, CL,CO,E*,IL, JO,KR,MA,OM, P,PA,PE,S,SG)","78.5%","",""
"5909.00","0","Textile hosepiping and similar textile tubing, with or without lining, armor or accessories of other materials:","","","","","",""
"5909.00.10.00","1","Of vegetable fibers","[""kg""]","Free","","21.5%","",""
"5909.00.20.00","1","Other","[""kg""]","3.3%","Free (AU,B,BH, CL,CO,E*,IL, JO,KR,MA,OM, P,PA,PE,S,SG)","88.5%","",""
"5910.00","0","Transmission or conveyor belts or belting, of textile material, whether or not impregnated, coated, covered or laminated with plastics, or reinforced with metal or other material:","","","","","",""
"5910.00.10","1","Of man-made fibers","","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","74%","",""
"","2","Power transmission belts and belting:","","","","","",""
"","3","Belts:","","","","","",""
"5910.00.10.10","4","V-belts","[""No."",""kg""]","","","","",""
"5910.00.10.20","4","Synchronous belts","[""No."",""kg""]","","","","",""
"5910.00.10.30","4","Other","[""No."",""kg""]","","","","",""
"","3","Belting:","","","","","",""
"5910.00.10.60","4","Link","[""m"",""kg""]","","","","",""
"5910.00.10.70","4","Other","[""m"",""kg""]","","","","",""
"5910.00.10.90","2","Other","[""kg""]","","","","",""
"5910.00.90.00","1","Other","[""kg""]","2.6%","Free (AU,BH, CL,CO,E*,IL, JO,KR,MA,OM, P,PA,PE,S,SG)","30%","",""
"5911","0","Textile products and articles, for technical uses, specified in note 8 to this chapter:","","","","","",""
