HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4901","0","Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets:","","","","","",""
"4901.10.00","1","In single sheets, whether or not folded","","Free","","Free","",""
"4901.10.00.20","2","Reproduction proofs","[""kg""]","","","","",""
"4901.10.00.40","2","Other","[""kg""]","","","","",""
"","1","Other:","","","","","",""
"4901.91.00","2","Dictionaries and encyclopedias, and serial installments thereof","","Free","","Free","",""
"4901.91.00.20","3","Dictionaries (including thesauruses)","[""No.""]","","","","",""
"4901.91.00.40","3","Encyclopedias","[""No.""]","","","","",""
"4901.99.00","2","Other","","Free","","Free","",""
"4901.99.00.10","3","Textbooks","[""No.""]","","","","",""
"4901.99.00.20","3","Bound newspapers, journals and periodicals provided for in Legal Note 3 to this chapter","[""No.""]","","","","",""
"4901.99.00.30","3","Directories","[""No.""]","","","","",""
"","3","Other:","","","","","",""
"4901.99.00.40","4","Bibles, testaments, prayer books and other religious books","[""No.""]","","","","",""
"4901.99.00.50","4","Technical, scientific and professional books","[""No.""]","","","","",""
"","4","Art and pictorial books:","","","","","",""
"4901.99.00.60","5","Valued under $5 each","[""No.""]","","","","",""
"4901.99.00.65","5","Valued $5 or more each","[""No.""]","","","","",""
"","4","Other:","","","","","",""
"4901.99.00.70","5","Hardbound books","[""No.""]","","","","",""
"4901.99.00.75","5","Rack size paperbound books","[""No.""]","","","","",""
"","5","Other:","","","","","",""
"4901.99.00.91","6","Containing not more than 4 pages each (excluding covers)","[""No.""]","","","","",""
"4901.99.00.92","6","Containing 5 or more pages each, but not more than 48 pages each (excluding covers)","[""No.""]","","","","",""
"4901.99.00.93","6","Containing 49 or more pages each (excluding covers)","[""No.""]","","","","",""
"4902","0","Newspapers, journals and periodicals, whether or not illustrated or containing advertising material:","","","","","",""
"4902.10.00.00","1","Appearing at least four times a week","[""kg""]","Free","","Free","",""
"4902.90","1","Other:","","","","","",""
"4902.90.10.00","2","Newspaper supplements printed by a gravure process","[""No.""]","Free","","25%","",""
"4902.90.20","2","Other","","Free","","Free","",""
"4902.90.20.20","3","Newspapers appearing less than four times per week","[""kg""]","","","","",""
"4902.90.20.40","3","Other business and professional journals and periodicals (including single issues tied together for shipping purposes)","[""No.""]","","","","",""
"4902.90.20.60","3","Other (including single issues tied together for shipping purposes)","[""No.""]","","","","",""
"4903.00.00.00","0","Children's picture, drawing or coloring books","[""No.""]","Free","","Free","",""
"4904.00.00","0","Music, printed or in manuscript, whether or not bound or illustrated","","Free","","Free","",""
"4904.00.00.20","1","Sheet music, whether or not stapled or folded, but not otherwise bound","[""kg""]","","","","",""
"4904.00.00.40","1","Other","[""No.""]","","","","",""
"4905","0","Maps and hydrographic or similar charts of all kinds, including atlases, wall maps, topographical plans and globes, printed:","","","","","",""
"4905.20.00.00","1","In book form","[""No.""]","Free","","Free","",""
"4905.90","1","Other:","","","","","",""
"4905.90.20.00","2","Globes","[""kg""]","Free","","35%","",""
"4905.90.60.00","2","Other","[""kg""]","Free","","Free","",""
"4906.00.00.00","0","Plans and drawings for architectural, engineering, industrial, commercial, topographical or similar purposes, being originals drawn by hand; handwritten texts; photographic reproductions on sensitized paper and carbon copies of the foregoing","[""kg""]","Free","","25%","",""
"4907.00.00.00","0","Unused postage, revenue or similar stamps of current or new issue in the country in which they have, or will have, a recognized face value; stamp-impressed paper; banknotes; check forms; stock, share or bond certificates and similar documents of title","[""kg""]","Free","","66¢/kg","",""
"4908","0","Transfers (decalcomanias):","","","","","",""
"4908.10.00.00","1","Transfers (decalcomanias), vitrifiable","[""kg""]","Free","","66¢/kg + 15%","",""
