HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"3701","0","Photographic plates and film in the flat, sensitized, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitized, unexposed, whether or not in packs:","","","","","",""
"3701.10.00","1","For X-ray","","3.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3701.10.00.30","2","Medical, other than dental","[""m<sup>2<\/sup>""]","","","","",""
"3701.10.00.60","2","Other","[""m<sup>2<\/sup>""]","","","","",""
"3701.20.00","1","Instant print film","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3701.20.00.30","2","For color photography (polychrome)","[""No.""]","","","","",""
"3701.20.00.60","2","Other","[""No.""]","","","","",""
"3701.30.00.00","1","Other plates and film, with any side exceeding 255 mm","[""m<sup>2<\/sup>""]","Free","","25%","",""
"","1","Other:","","","","","",""
"3701.91.00","2","For color photography (polychrome)","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3701.91.00.30","3","Disc film","[""No.""]","","","","",""
"3701.91.00.60","3","Other","[""m<sup style=\""font-size: 9.75px;\"">2<\/sup>""]","","","","",""
"3701.99","2","Other:","","","","","",""
"3701.99.30.00","3","Dry plates","[""m<sup>2<\/sup>""]","Free","","20%","",""
"3701.99.60","3","Other","","Free","","25%","",""
"3701.99.60.30","4","Graphic arts film","[""m<sup>2<\/sup>""]","","","","",""
"3701.99.60.60","4","Other","[""m<sup>2<\/sup>""]","","","","",""
"3702","0","Photographic film in rolls, sensitized, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitized, unexposed:","","","","","",""
"3702.10.00","1","For X-ray","","3.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3702.10.00.30","2","Medical, other than dental","[""m<sup>2<\/sup>""]","","","","",""
"3702.10.00.60","2","Other","[""m<sup>2<\/sup>""]","","","","",""
